Track Name,Artist,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_signature,Lyrics,Average1,Average2,Average3,Average4,Average5,Varience1,Varience2,Varience3,Varience4,Varience5,Standard Deviation1,Standard Deviation2,Standard Deviation3,Standard Deviation4,Standard Deviation5,Minimum1,Minimum2,Minimum3,Minimum4,Minimum5,Maximum1,Maximum2,Maximum3,Maximum4,Maximum5,Track Popularity Output,Artist Popularity Output
34+35,Ariana Grande,89,pop,173710,2020-10-30,81,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,4,"Hmm

You might think I'm crazy
The way I've been cravin'
If I put it quite plainly
Just give me them babies
So, what you doing tonight?
Better say, ""doin' you right"" (yeah)
Watching movies, but we ain't seen a thing tonight (yeah)

I don't wanna keep you up (you up)
But show me, can you keep it up? (It up?)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy

I've been drinking coffee (I've been drinking coffee)
And I've been eating healthy (and I've been eating healthy)
You know I keep it squeaky, yeah (you know I keep it squeaky)
Saving up my energy (yeah, yeah, saving up my energy)

Can you stay up all night?
Fuck me 'til the daylight
34, 35 (yeah, yeah, yeah, yeah)
Can you stay up all night? (All night?)
Fuck me 'til the daylight
34, 35 (yeah, yeah, yeah, yeah)

Can we stay up all night? Fuck a jet lag
You bring yo' fine ass and overnight bag
...
",50.595577,75.30501,50.976833,41.506466,43.538723,1850.492,4134.8296,1167.9696,595.69305,645.7073,43.017345,64.30264,34.17557,24.406824,25.41077,0.7678201,0.7232318,0.36379728,0.22481206,0.5729439,1168.0238,895.4007,323.1918,241.3011,225.6635,,
3D (feat. Jack Harlow),Jung Kook,86,k-pop,201812,2023-09-29,85,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,4,"One, two, 3D

I can't touch you through the phone
Or kiss you through the universe
In another time zone
It's the only time I can't reverse
But when there's two dimensions
There's only one I'm missin'
And if you feel alone
You don't have to feel that no more

I just wanna see you like that
See you like that, uh-uh

So if you're ready (so if you're ready)
And if you'll let me (and if you'll let me)
I wanna see it in motion, in 3D (uh-uh)
You won't regret me (you won't regret me)
Champagne confetti (champagnе confetti)
I wanna see it in motion, in 3D

'Cause you know how I like it, girl (girl)
3D (woo)
You know how I likе it, girl (girl)
3D (woo)

Body to body to body to body to body
You and me, baby, you know that we got it
So don't go gettin' me started
'Cause you know I get hot-hearted
Baby, oh, baby, oh, baby, you makin' me crazy
Rain, rain, rain, you can't fake it
...
",64.91702,96.07973,70.840576,61.99524,66.044044,8377.205,6182.1504,3317.6746,2018.331,2186.9177,91.52708,78.626656,57.59926,44.92584,46.764492,0.59288293,0.35878986,0.20428899,0.6542452,0.20711607,2818.552,1186.5771,851.33167,643.5191,504.7846,,
7 rings,Ariana Grande,89,pop,178626,2019-02-08,87,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,4,"Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it, yeah

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (yep)

...
",40.732426,65.84409,33.26819,29.62836,36.414196,1719.5643,5636.786,456.04587,340.59143,473.05298,41.46763,75.07853,21.35523,18.45512,21.74978,0.24471949,0.20773931,0.4641233,0.23851977,0.1551405,489.04477,916.15094,281.26935,164.03392,191.31705,,
9 to 5,Dolly Parton,72,"classic country pop, country, country dawn",162466,1980,80,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4,"Tumble out of bed
Then I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life

Jump in the shower
And the blood starts pumpin'
Out on the streets, the traffic starts jumpin'
For folks like me on the job from nine to five

Workin' nine to five
What a way to make a livin'
Barely gettin' by
It's all takin' and no givin'
They just use your mind
And they never give you credit
It's enough to drive you crazy if you let it

Nine to five
For service and devotion
You would think that I
Would deserve a fat promotion
Want to move ahead
...
",23.690132,27.051498,28.154768,27.693884,29.513105,156.05293,215.88446,239.5961,247.85257,282.30093,12.492115,14.693007,15.478892,15.743334,16.801813,0.058755875,0.56635064,0.24100858,0.13842535,0.2029795,86.38659,125.656,123.077644,123.586624,155.76279,,
99 Luftballons,Nena,62,"german pop, new wave pop",231466,1983-09-23,78,0.636,0.467,4,-10.1,1,0.0421,0.0915,1.7e-06,0.117,0.58,96.639,4,"Hast du etwas Zeit für mich
Dann singe ich ein Lied für dich
Von 99 Luftballons
Auf ihrem Weg zum Horizont
Denkst du vielleicht grad' an mich
Dann singe ich ein Lied für dich
Von 99 Luftballons
Und dass sowas von sowas kommt

99 Luftballons
Auf ihrem Weg zum Horizont
Hielt man für Ufo's aus dem All
Drum schickte ein General
'Ne Fliegerstaffel hinterher,
Alarm zu geben, wenn's so wär'
...
",15.122286,21.215609,20.240395,17.544119,21.57234,66.93808,181.53674,130.61403,127.167404,156.31734,8.181569,13.473557,11.42865,11.276853,12.502693,0.17717353,0.065419964,0.009975913,0.10945243,0.29288426,55.092793,146.21967,80.84864,101.04348,85.22191,,
A Cold Sunday,Lil Yachty,79,"atl hip hop, melodic rap, rap, trap",107313,2024-02-02,82,0.58,0.851,9,-3.17,0,0.238,0.318,0.0,0.101,0.861,76.704,4,"It's a cold Sunday to complain
I hold it in until it rain
I fought demons after fame
I spent millions on terrain
I treat my bitch just like Diana
Pretty princess, hold the Fanta
2003 Dolce Gabbana jeans make her ass look fatter
We gon' catch him outside, he don't got no money for the backup
I ran 30 million in the ground, baby, now I'm back up
She a city girl, I'm the real reason that she act up (hmm)

She talk back, I make her pack up, send her home on Spirit
...
",47.732327,67.09715,72.368324,73.749535,68.35143,641.02856,2243.7332,2258.3015,2454.584,2387.9756,25.318542,47.36806,47.52159,49.54376,48.866917,0.07438494,0.6675898,0.02990993,0.67050016,1.2220517,190.52255,422.13364,419.8351,569.20667,567.9418,,
A House Made of You,Michael Shynes,48,,204033,2021-09-03,46,0.617,0.369,3,-12.12,1,0.039,0.724,0.000209,0.105,0.252,149.93,4,"It doesn't take a white dress, it doesn't take a fortress
Nobody needs a ring to fall in love
When I met you it was easy, and I held it like a secret
Until the day I couldn't hide it anymore

I want to grow older, I want to grow wiser
I want to grow flowers in a house that's made of you
To sit and watch the sunset, and get some wrinkles on my forehead
I want to build fires in a house that's made of you (in a house that's made of you)

...
",31.524267,57.465893,30.689594,28.768274,31.857206,972.9912,4040.5728,735.21967,412.3318,532.42084,31.192806,63.5655,27.114935,20.305954,23.074245,0.23847422,0.46211058,0.07944902,0.26357642,0.17716426,823.5564,1056.9241,309.31918,248.13556,282.65567,,
A Sky Full of Stars,Coldplay,87,"permanent wave, pop",267866,2014-05-19,89,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4,"'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path

I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
...
",48.032417,81.56819,62.038284,49.880215,43.744316,1071.2649,6045.397,2907.007,1039.6625,764.7057,32.730183,77.75215,53.916668,32.243797,27.653313,0.16175199,0.48566943,0.50204784,0.3963427,0.15091057,412.63483,1554.7386,949.3047,353.1602,321.12555,,
A Thousand Miles,Vanessa Carlton,63,"lilith, neo mellow, piano rock, pop rock, post-teen pop",237493,2002-04-30,81,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,4,"Making my way downtown
Walking fast, faces pass and I'm homebound

Staring blankly ahead
Just making my way
Making a way through the crowd

And I need you
And I miss you
And now I wonder

If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you tonight

It's always times like these when I think of you
And wonder if you ever think of me
...
",45.816257,70.154594,66.24612,62.503357,68.604164,879.27576,2097.5996,1720.8088,1368.0745,1806.2905,29.652584,45.79956,41.48263,36.98749,42.500477,0.31149262,0.5389277,0.38943794,0.15638837,1.0718367,331.83896,557.3524,539.2532,485.10382,403.10864,,
ALIEN SUPERSTAR,Beyoncé,87,"pop, r&b",215459,2022-07-29,76,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,4,"Please, do not be alarmed, remain calm
Do not attempt to leave the dancefloor
The DJ booth is conducting a tro-tro-troubleshoot test of the entire system

I'm one of one, I'm number one, I'm the only one
Don't even waste your time trying to compete with me (Don't do it)
No one else in this world can think like me (True)
I'm twisted (Twisted), I'll contradict it, keep him addicted
Lies on his lips, I lick it

Unique, that's what you are
Stilеttos kicking vintage crystal off the bar
Category bad b-, I'm thе bar (Ooh)
Alien superstar, whip, whip

I'm too classy for this world, forever I'm that girl
Feed you diamonds and pearls, ooh, baby
I'm too classy to be touched, I paid 'em all in dust
I'm stingy with my love, ooh, baby

You are unique (U-N-I-Q-U-E)
Ooh, I'm stingy with my love
Ooh, baby, I'm (U-N-I-Q-U-E)
...
",35.445595,107.36593,58.950764,47.678112,51.17597,535.62396,20860.006,1806.7169,780.2533,846.17236,23.14355,144.42993,42.505493,27.933014,29.089043,0.41997048,0.8200087,0.41243502,0.6908041,0.07964605,331.04657,4266.292,703.60895,299.6441,270.0496,,
Acróstico - Milan y Sasha,Shakira,85,"colombian pop, dance pop, latin pop, pop",170785,2023-05-11,79,0.748,0.478,11,-8.886,1,0.121,0.837,0.0,0.099,0.353,143.866,4,"Me enseñaste que el amor no es una estafa
Y que cuando es real no se acaba
Intenté que no me veas llorar
Que no veas mi fragilidad

Pero las cosas no son siempre como las soñamos
A veces corremos, pero no llegamos
Nunca dudes que aquí voy a estar
Háblame, que te voy a escuchar

Uh, y aunque la vida me tratara así
Voy a ser fuerte solo para ti

Lo único que quiero es tu felicidad
Y estar contigo
Una sonrisa tuya es mi debilidad
...
",23.016691,39.070415,29.512438,25.894863,30.049593,642.65656,1432.071,387.05453,269.75684,477.57047,25.350672,37.842716,19.673702,16.424276,21.853386,0.11682344,0.32326347,0.32709217,0.33293352,0.25891417,678.5758,477.96457,214.43822,209.92792,359.76022,,
Adan y Eva,Paulo Londra,74,"argentine hip hop, trap argentino, trap latino, urbano latino",256971,2019-05-23,75,0.767,0.709,1,-4.47,1,0.336,0.323,0.0,0.0745,0.72,171.993,4,"(O-O-Ovy On The Drums)

Acércate, deja la' duda'
La noche es fría, pero conmigo es segura
Despégate de la amargura
Y déjame llevarte a tu debida altura
De tus locuras, de tus ideas
De tu cultura y de tu ciencia
¿La alcanzaré?, eso no lo sé
Pero esta noche

De mí no te escapas
Esta noche no me guardo la' palabras
Soñé siempre con tener esta velada
Y que tengo que contarte a ti
Que de mí no te escapas
Esta noche no me guardo la' palabras
Soñé siempre con tener esta velada
Y que tengo que contarte a ti

Como Adán y Eva, tengamo' nuestro' pecado'
Como do' ladrone', un secreto bien guardado
Un camino y un destino asegurado
Donde esto' fugitivo' se han amado
Y como Adán y Eva, tengamo' nuestro' pecado'
Como do' ladrone', un secreto bien guardado
Un camino y un destino asegurado
Donde esto' fugitivo' se han amado, oh-oh

Tú vive' con otro y yo medio a solas
A mí no me quieren, él no te valora
Él no te saluda ni te dice hola
Y a mí no me hablan a ninguna hora

...
",46.803814,90.16641,81.86369,72.43576,61.940308,1553.1299,7470.334,4451.0693,2532.2834,1858.2839,39.409767,86.43109,66.71633,50.3218,43.10782,0.3534163,0.27092072,0.82397586,0.16830426,0.6494334,1697.8809,1748.0131,1308.4775,822.6004,591.4991,,
Adore,Amy Shark,53,australian pop,184999,2016-11-04,50,0.592,0.438,1,-10.054,1,0.0391,0.193,0.0,0.0564,0.259,67.445,4,"I'm just gonna stand with my bag hangin' off my left arm
I'm just gonna walk home kickin' stones at parked cars
But I had a great night, 'cause you kept rubbin' against my arm
I'm just gonna stand with my bag hangin' off my left arm

Get me a drink, I get drunk off one sip
Just so I can adore you
I want the entire street out of town
Just so I can be alone with you
And I'll go when you're ready
My head's gettin' heavy
Pressed against your arm
I adore you

...
",45.567337,69.55175,56.46638,53.49649,49.254253,1999.289,4433.056,1328.3217,1783.689,962.3908,44.71341,66.5812,36.446148,42.23374,31.022425,0.40030637,0.44680032,0.62995887,0.52851474,0.68146026,1239.8348,1306.2145,410.16583,724.0261,302.1352,,
Adore You,Harry Styles,84,pop,207133,2019-12-13,85,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,"Walk in your rainbow paradise (paradise)
Strawberry lipstick state of mind (state of mind)
I get so lost inside your eyes
Would you believe it?

You don't have to say you love me
You don't have to say nothing
You don't have to say you're mine

Honey (ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do

Your wonder under summer sky (summer sky)
Brown skin and lemon over ice
Would you believe it?
...
",22.075476,52.253334,29.538778,25.657982,29.683712,1272.3396,4456.1235,731.7718,329.9642,334.58026,35.66987,66.7542,27.051281,18.164917,18.291534,0.47057655,0.40024617,0.42090178,0.26483735,0.68346256,850.5269,1074.8422,434.8681,223.29758,180.54901,,
Afterglow,Ed Sheeran,87,"pop, singer-songwriter pop, uk pop",185486,2020-12-21,73,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,4,"One, two

Stop the clocks, it's amazing
You should see the way the light dances off your hair
A million colours of hazel, golden and red
Saturday morning is fadin'
The sun's reflected by the coffee in your hand
My eyes are caught in your gaze all over again

We were love drunk waiting on a miracle
Trying to find ourselves in the winter snow
So alone in love like the world had disappeared
...
",80.80123,53.661297,50.743687,36.60003,37.57251,13429.198,2447.5994,1367.2677,597.31586,570.0493,115.884415,49.473217,36.97658,24.440046,23.875706,0.57848936,0.56067264,0.47994336,0.27410665,0.13715297,1615.674,729.2943,457.7228,264.68375,191.71628,,
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,75,"rock drums, soft rock",206360,2016-10-14,78,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,4,"How can I just let you walk away?
Just let you leave without a trace?
When I stand here takin' every breath with you, ooh
You're the only one who really knew me at all

How can you just walk away from me
When all I can do is watch you leave?
'Cause we've shared the laughter and the pain
And even shared the tears
You're the only one who really knew me at all

So take a look at me now
Oh, there's just an empty space
...
",29.643179,55.39641,43.208508,40.5173,40.903255,346.26633,2819.5137,1217.8307,613.4191,752.5256,18.608232,53.099094,34.89743,24.7673,27.4322,0.23377569,1.0224346,0.21417765,0.5450651,0.56115186,147.93001,1131.9103,491.96097,304.1332,347.41696,,
